Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
240437,OIE,51.981667,22.554167,Europe,Poland,Lubeiskie,Trzebieszow Drugi,Exact,03/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240436,OIE,52.432778,20.884167,Europe,Poland,Mazowieckie,Kaluszyn,Exact,03/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,3,3,0,,,,,
240435,OIE,51.363889,22.976389,Europe,Poland,Lubeiskie,Uciekajka,Exact,03/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240434,OIE,51.3125,23.2275,Europe,Poland,Lubeiskie,Malkow,Exact,02/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240433,OIE,51.786667,23.081944,Europe,Poland,Lubeiskie,Polubicze,Exact,01/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240432,OIE,52.237222,21.15,Europe,Poland,Mazowieckie,Ceglina,Exact,01/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240431,OIE,52.397778,20.841389,Europe,Poland,Mazowieckie,Rajszew,Exact,31/08/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240430,OIE,52.093333,23.470556,Europe,Poland,Lubeiskie,Makowa gora,Exact,31/08/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240429,OIE,51.869722,23.116111,Europe,Poland,Lubeiskie,Rossosz,Exact,30/08/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240428,OIE,53.976111,22.890556,Europe,Poland,Podlaskie,Cisowek,Exact,30/08/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,9,9,0,,,,,
240427,OIE,52.038611,21.260556,Europe,Poland,Mazowieckie,Ostrowiec,Exact,28/08/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240426,OIE,49.64,5.59,Europe,Belgium,Region wallonne,Buzenol,Exact,18/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,3,2,1,,,0,,
240425,OIE,49.63,5.61,Europe,Belgium,Region wallonne,Buzenol,Exact,16/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,0,,
240407,National authorities,43.293,124.433,Asia,China,Jilin Sheng,"Daxing Village, NanweiziTownship",Exact,17/09/2018,21/09/2018,Confirmed,African swine fever,,"domestic, swine",484,56,56,428,,,0,,
240406,National authorities,42.011,120.003,Asia,China,Nei Mongol Zizhiqu,Barenzelimu Township,Exact,17/09/2018,21/09/2018,Confirmed,African swine fever,,"domestic, swine",138,23,22,116,,,0,,
240351,OIE,56.9775,25.0839,Europe,Latvia,Rigas,Malpils parish,Exact,14/09/2018,18/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,0,1,,,0,,
240350,OIE,56.9072,22.8767,Europe,Latvia,Tukuma,Zemites parish,Exact,13/09/2018,18/09/2018,Confirmed,African swine fever,,"wild, wild boar",,2,0,2,,,0,,
240349,OIE,56.1119,27.7664,Europe,Latvia,Kraslavas,Svarinu parish,Exact,13/09/2018,18/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,0,1,,,0,,
240348,OIE,57.1725,22.6167,Europe,Latvia,Talsu,Libagu parish,Exact,13/09/2018,18/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,0,1,,,0,,
240347,OIE,57.6425,25.4747,Europe,Latvia,Valmieras,Rencenu parish,Exact,12/09/2018,18/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,0,1,,,0,,
240346,OIE,56.7439,23.0803,Europe,Latvia,Tukuma,Jaunpils  parish,Exact,11/09/2018,18/09/2018,Confirmed,African swine fever,,"wild, wild boar",,2,0,2,,,0,,
240345,OIE,56.7303,22.3664,Europe,Latvia,Saldus,Lutrinu  parish,Exact,10/09/2018,18/09/2018,Confirmed,African swine fever,,"wild, wild boar",,3,0,3,,,0,,
240344,OIE,56.1397,27.7944,Europe,Latvia,Kraslavas,Svarinu parish,Exact,11/09/2018,18/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,0,1,,,0,,
240343,OIE,56.6692,24.195,Europe,Latvia,Bauskas,Iecavas parish,Exact,11/09/2018,18/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,0,1,,,0,,
240342,OIE,56.4708,27.4806,Europe,Latvia,Rezeknes,Griskanu parish ,Exact,10/09/2018,18/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,0,1,,,0,,
240341,OIE,56.9719,22.4628,Europe,Latvia,Kuldigas,Kabiles parish ,Exact,10/09/2018,18/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,0,1,,,0,,
240340,OIE,56.6753,23.2392,Europe,Latvia,Dobeles,Dobeles parish ,Exact,10/09/2018,18/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,0,1,,,0,,
240330,OIE,54.299444,21.245,Europe,Poland,Warminsko-Mazurskie,Piskorze ,Exact,03/09/2018,14/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,0,,
240329,OIE,54.298889,19.6125,Europe,Poland,Warminsko-Mazurskie,Wodynia ,Exact,05/09/2018,14/09/2018,Confirmed,African swine fever,,"wild, wild boar",,2,2,0,,,0,,
240328,OIE,54.256111,21.585556,Europe,Poland,Warminsko-Mazurskie,Guja,Exact,28/08/2018,14/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,0,,
240327,OIE,54.300278,19.62,Europe,Poland,Warminsko-Mazurskie,Wodynia ,Exact,01/09/2018,14/09/2018,Confirmed,African swine fever,,"wild, wild boar",,2,2,0,,,0,,
240326,OIE,54.120556,21.1575,Europe,Poland,Warminsko-Mazurskie,Kraskowo ,Exact,30/08/2018,14/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,0,,
240325,OIE,54.265278,21.569444,Europe,Poland,Warminsko-Mazurskie,Guja,Exact,30/08/2018,14/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,0,,
240324,OIE,54.283611,20.665278,Europe,Poland,Warminsko-Mazurskie,Barciszewo ,Exact,22/08/2018,14/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,0,,
240323,OIE,54.29,19.665556,Europe,Poland,Warminsko-Mazurskie,Krzywiec ,Exact,21/08/2018,14/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,0,,
240321,OIE,50.2118,31.7501,Europe,Ukraine,Kyyivs'ka,Panfyly ,Exact,13/09/2018,17/09/2018,Confirmed,African swine fever,,"domestic, swine",508,3,3,505,,,0,,
240320,OIE,48.9294,30.402,Europe,Ukraine,Cherkas'ka,Zheludkove,Exact,29/08/2018,17/09/2018,Confirmed,African swine fever,,"domestic, swine",2,2,0,2,,,0,,
240319,OIE,49.198,34.2303,Europe,Ukraine,Poltavs'ka,Lishchynivka ,Exact,15/09/2018,17/09/2018,Confirmed,African swine fever,,"domestic, swine",76,9,9,67,,,0,,
240318,OIE,44.8476,25.4452,Europe,Romania,Dimbovita,Lucieni,Exact,17/09/2018,17/09/2018,Confirmed,African swine fever,,"domestic, swine",3,3,2,1,,,,,
240317,OIE,45.1237,28.2117,Europe,Romania,Tulcea,Isaccea,Exact,04/09/2018,14/09/2018,Confirmed,African swine fever,,"wild, wild boar",,5,5,,,,,,
240316,OIE,45.1505,28.2358,Europe,Romania,Tulcea,Isaccea,Exact,03/09/2018,14/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,,,
240315,OIE,45.3079,26.1407,Europe,Romania,Prahova,Jijila,Exact,03/09/2018,14/09/2018,Confirmed,African swine fever,,"domestic, swine",4,4,0,4,,,,,
240314,OIE,44.9026,28.2317,Europe,Romania,Tulcea,Magurele,Exact,03/09/2018,14/09/2018,Confirmed,African swine fever,,"domestic, swine",7,7,1,6,,,,,
240313,OIE,45.3106,28.1373,Europe,Romania,Tulcea,Jijila,Exact,02/09/2018,14/09/2018,Confirmed,African swine fever,,"domestic, swine",9,9,0,9,,,,,
