Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
238510,OIE,55.150858,49.05717,Europe,Russian Federation,Tatarstan Rep.,Ishimovo ,Exact,19/07/2018,25/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",71,29,29,42,,,0,,
238509,OIE,55.151115,48.172877,Europe,Russian Federation,Tatarstan Rep.,Kamennyy Brod ,Exact,19/07/2018,25/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",44,4,4,40,,,0,,
238508,OIE,55.412023,48.536922,Europe,Russian Federation,Tatarstan Rep.,Azbaba ,Exact,19/07/2018,25/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",80,16,9,71,,,0,,
238507,OIE,55.487856,48.19578,Europe,Russian Federation,Tatarstan Rep.,Araslanovo ,Exact,18/07/2018,25/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",39,20,20,19,,,0,,
238506,OIE,52.044867,43.947311,Europe,Russian Federation,Saratovskaya Oblast,Kamenka ,Exact,18/07/2018,25/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",209,15,15,194,,,0,,
238505,OIE,55.32476,48.636155,Europe,Russian Federation,Tatarstan Rep.,Malye Kokuzy ,Exact,14/07/2018,25/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",60,22,16,44,,,0,,
238504,OIE,55.24383,48.414792,Europe,Russian Federation,Tatarstan Rep.,Karatun ,Exact,13/07/2018,25/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",16,2,2,14,,,0,,
238503,OIE,55.196963,49.261219,Europe,Russian Federation,Tatarstan Rep.,Kamskoe Ust''e ,Exact,12/07/2018,25/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",193,19,19,174,,,0,,
238468,National authorities,23.402081,45.23404,Asia,Saudi Arabia,Riyad,Alazizia live bird market,Centroid Admin1,17/07/2018,17/07/2018,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",14675,1,0,14675,,,0,,
238443,OIE,-34.2,19.6,Africa,South Africa,Western Cape,HPAI_H5N8_2017_192,Exact,13/07/2018,18/07/2018,Confirmed,Influenza - Avian,H5N8 HPAI,"wild,blue crane (grus paradisea))",,1,1,0,0,,0,,
